Wed Mar 16 2022 17:25:13 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Failed: Invalid Vendor Code. Unable to find it.","status":false} | 
Wed Mar 16 2022 17:27:08 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'split')","status":false} | 
Wed Mar 16 2022 19:27:05 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: TypeError: Category Not Customized Std Parts","value":{"user_id":18,"type_item":"Screw, Bolts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Screw, Bolts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 19:28:14 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: TypeError: Category Not Customized Std Parts","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 19:28:29 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 19:29:52 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 19:31:21 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 19:32:11 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 19:33:19 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Unable to find code 13.","status":false} | 
Wed Mar 16 2022 20:30:07 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSPMS | data:{"message":"API Failed: QueryFailedError: ER_BAD_NULL_ERROR: Column 'update_date' cannot be null","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 21:03:58 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /editSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'split')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 21:04:21 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /editSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'split')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Wed Mar 16 2022 21:05:35 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /editSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'split')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"","subs":[{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN.01","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":""}]},"status":false} | 
Thu Mar 17 2022 16:39:50 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /editSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'split')","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"LV"},"status":false} | 
Thu Mar 17 2022 16:39:59 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API ErrorQueryFailedError: ER_BAD_NULL_ERROR: Column 'update_date' cannot be null","value":{"user_id":18,"type_item":"Customize Standard Parts","product_part_number":"PPN","greatech_drawing_naming":"GDN","description":"This is decription","brand":"NO BRAND","uom":"M","folder_location":"","_2d_folder":"","_3d_folder":"","solidworks_folder":"","remark":"","assign_material":"","assign_weight":"","sp_category":13,"section":"M","vendor":"LV"},"status":false} | 
Thu Mar 17 2022 16:41:07 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000306","part_number":"PPN"},"status":true} | 
Thu Mar 17 2022 16:41:07 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"Activity Log ErrorQueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'part_id' in 'field list'","value":[{"timelog":"2022-03-17T16:41:07+08:00","title":"CREATE","part_id":48433,"description":"Created New Standard Parts","user_id":18}],"status":false} | 
Thu Mar 17 2022 16:41:33 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000307","part_number":"PPN"},"status":true} | 
Thu Mar 17 2022 16:41:34 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"Activity Log ErrorQueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'part_id' in 'field list'","value":[{"timelog":"2022-03-17T16:41:33+08:00","title":"CREATE","part_id":48434,"description":"Created New Standard Parts","user_id":18}],"status":false} | 
Thu Mar 17 2022 16:41:43 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000308","part_number":"PPN"},"status":true} | 
Thu Mar 17 2022 16:41:43 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"Activity Log ErrorQueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'part_id' in 'field list'","value":[{"timelog":"2022-03-17T16:41:43+08:00","title":"CREATE","part_id":48435,"description":"Created New Standard Parts","user_id":18}],"status":false} | 
Thu Mar 17 2022 16:43:48 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000309","part_number":"PPN"},"status":true} | 
Thu Mar 17 2022 16:43:48 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"Activity Log ErrorQueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'part_id' in 'field list'","value":[{"timelog":"2022-03-17T16:43:48+08:00","title":"CREATE","part_id":48436,"description":"Created New Standard Parts","user_id":18}],"status":false} | 
Thu Mar 17 2022 16:44:06 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000310","part_number":"PPN"},"status":true} | 
